1, aaand please welcome my friend tom some of you may already have met him  he came to our rooftop bday Î_’ÀÎŒÎ_’ÀÎŒ,6,0.9356853,,,,,,,,,,,,,,,,,,
2,30082019 152726 Î_’_44 7482 729729 added Î_’_Î_44’Ç’é7495’Ç’é623839Î_’_’¢,0,0.010020817,1,0.50893587,2,0.010028256,3,0.010020588,4,0.010020588,5,0.010020588,6,0.010020587,7,0.41089144,8,0.010020652,9,0.010020611
3, moving in this week ’_’_,0,0.025005747,1,0.02501522,2,0.02500926,3,0.025005747,4,0.025009379,5,0.025005747,6,0.025013201,7,0.28402275,8,0.025007822,9,0.51590514
4, hello and hello,0,0.033334162,1,0.033334162,2,0.033334162,3,0.033334162,4,0.033334162,5,0.033334162,6,0.033334162,7,0.033334162,8,0.033334162,9,0.69999254
5, i know this is a bit of an odd request but while i was away my water kefir grains died does anyone have any spare that i could have a few to restart my little growing batch,0,0.23152311,4,0.49692395,7,0.101367794,8,0.13265307,,,,,,,,,,,,
6, oh cush thats so sad  but no i never managed to revive mine from the supplier sending them dehydrated  id love it if you would teach me how to grow them,0,0.8139101,7,0.13606942,,,,,,,,,,,,,,,,
7, hi tom welcome welcome welcome,0,0.25536326,1,0.016668761,2,0.6112912,3,0.016669314,4,0.016668083,5,0.016667195,6,0.016668804,7,0.016667195,8,0.016669005,9,0.016667195
8, hi tom welcome,0,0.33520362,1,0.025003925,2,0.46477756,3,0.025003735,4,0.025002442,5,0.025000827,6,0.025003554,7,0.025000827,8,0.025002664,9,0.025000827
9,30082019 155322 jooles dotdotdot hi tom iv ’_’‚’_’_Îè’å,0,0.010012092,1,0.010006202,2,0.6893775,3,0.23057635,4,0.010005304,5,0.010003666,6,0.010006442,7,0.010004196,8,0.010004642,9,0.010003666
10,30082019 155411 christina thanks 447717345724 hi all,0,0.014300608,1,0.014298648,2,0.44302487,3,0.014293661,4,0.014305803,5,0.014293661,6,0.014298104,7,0.014303559,8,0.014294507,9,0.44258654
11, good point  i think we need a better system than me putting them in my phone as tom other tom other other tom and tom iv,6,0.93569535,,,,,,,,,,,,,,,,,,
12, tom 4,0,0.6999827,1,0.033336155,2,0.033334296,3,0.033335533,4,0.033335462,5,0.033334296,6,0.033338673,7,0.033334296,8,0.033334296,9,0.033334296
13, hi christina and hi tom i met you at the party ,0,0.014296216,1,0.2917521,2,0.59392995,3,0.014289068,4,0.014289458,5,0.014287257,6,0.014290378,7,0.014290491,8,0.014287858,9,0.014287257
14,30082019 163814 jen dotdotdot i have milk kefir grains,0,0.012508119,1,0.012508169,2,0.8874218,3,0.012508755,4,0.012512468,5,0.012508119,6,0.012508119,7,0.012508219,8,0.012508119,9,0.012508119
15, hello christina and tom,0,0.27498448,1,0.02500584,2,0.025006875,3,0.02500462,4,0.025004486,5,0.025002308,6,0.025005672,7,0.27498835,8,0.025004605,9,0.27499276
16, hi christina and tom,0,0.27497637,1,0.025005525,2,0.52498436,3,0.025003921,4,0.025003787,5,0.025001613,6,0.02500494,7,0.025013847,8,0.025003994,9,0.025001613
17, i also have milk kefir grains,0,0.020008842,1,0.020009749,2,0.020011714,3,0.020009372,4,0.81991136,5,0.020009736,6,0.020009521,7,0.020009536,8,0.020008842,9,0.020011293
18, when i get them growing again they quickly get too much so i wind up throwing them away so would be very happy to give me soares to you and show you how to keep them happy ’_’àÎÅ,5,0.44628534,7,0.21191168,8,0.29802805,,,,,,,,,,,,,,
19, thanks but they wont work thank you anyway though,0,0.014291731,1,0.87139314,2,0.014286905,3,0.014288663,4,0.014292222,5,0.014290097,6,0.014289593,7,0.014289663,8,0.0142902,9,0.014287795
20,30082019 171609 dotdotdot vote all toms need a nick name ’_’à’¢,0,0.35818106,2,0.17309588,7,0.223101,8,0.19103259,,,,,,,,,,,,
21, why donÎ_’_Îét they just decide what they want to be called  let us know,0,0.010001363,1,0.8031873,2,0.010001325,3,0.010001325,4,0.010007114,5,0.11678285,6,0.010005602,7,0.010001394,8,0.010004257,9,0.010007396
22, Î_’_this message was deleted,0,0.025000207,1,0.025000438,2,0.025000207,3,0.025000207,4,0.7749979,5,0.025000207,6,0.025000207,7,0.025000207,8,0.025000207,9,0.025000207
23, how about tom tom tom tom tom tom tom tom tom tom before you know it wed have an entire percussion section,0,0.94374096,,,,,,,,,,,,,,,,,,
24, i cant help but notice those who are conspicuous by their absences,0,0.016676808,1,0.016679127,2,0.016676871,3,0.016676629,4,0.016682155,5,0.016676629,6,0.016680704,7,0.016676629,8,0.016682448,9,0.849892
25, ok cool will dm you a few others applying so we can all get together,0,0.010005833,1,0.90994555,2,0.010009521,3,0.01000356,4,0.010003584,5,0.010011746,6,0.010005011,7,0.010007318,8,0.010003817,9,0.010003992
26, httpsweownitorguknhstradedealaction,0,0.05011571,1,0.5489586,2,0.05011571,3,0.05011571,4,0.05011571,5,0.05011571,6,0.05011571,7,0.05011571,8,0.05011571,9,0.05011571
27, for those who offered items for the art exhibition can you please bring them down to the canteen before 11am iÎ_’_Îém looking for healthy interesting plants in pots a couple of tall floor ones would be nice if anyone has that a couple of floor lamps and a few more tiny tablesstools thanks x,0,0.34241477,1,0.4497901,2,0.063782446,6,0.123310044,,,,,,,,,,,,
28,31082019 091927 jen dotdotdot ive got loads of plants ill bring,0,0.13346082,3,0.37265027,6,0.24850021,9,0.19080839,,,,,,,,,,,,
